<reference>NuMad format, 73 pts.</reference>	
<coords>	
1.000000000	0.000000000
1.000000000	-0.011630000
0.983320000	-0.007340000
0.957840000	-0.003020000
0.931990000	-0.001070000
0.906010000	-0.000840000
0.871410000	-0.003100000
0.837120000	-0.008050000
0.803210000	-0.015230000
0.769730000	-0.024310000
0.736690000	-0.035020000
0.704020000	-0.046930000
0.663560000	-0.062950000
0.623240000	-0.079500000
0.582930000	-0.095890000
0.542350000	-0.111530000
0.501280000	-0.125920000
0.468010000	-0.136250000
0.434350000	-0.145270000
0.400310000	-0.152740000
0.365920000	-0.158510000
0.331280000	-0.162440000
0.305190000	-0.164100000
0.279050000	-0.164580000
0.252920000	-0.163810000
0.226870000	-0.161690000
0.200990000	-0.158160000
0.175370000	-0.153130000
0.150130000	-0.146480000
0.125450000	-0.138050000
0.101530000	-0.127710000
0.078690000	-0.115220000
0.057370000	-0.100360000
0.038080000	-0.083040000
0.021650000	-0.063100000
0.008920000	-0.040610000
0.001740000	-0.016130000
0.000000000	0.000000000
0.001770000	0.018060000
0.008300000	0.042770000
0.020180000	0.065390000
0.035670000	0.085680000
0.054020000	0.103480000
0.074530000	0.118770000
0.096690000	0.131570000
0.120040000	0.142030000
0.144230000	0.150330000
0.168980000	0.156680000
0.194100000	0.161250000
0.236380000	0.165460000
0.270300000	0.166360000
0.304180000	0.165490000
0.337960000	0.163190000
0.371590000	0.159690000
0.405070000	0.155180000
0.438400000	0.149840000
0.471590000	0.143780000
0.504710000	0.137150000
0.546140000	0.128220000
0.587450000	0.118740000
0.628670000	0.108810000
0.669830000	0.098530000
0.710960000	0.087980000
0.743850000	0.079370000
0.776740000	0.070670000
0.809660000	0.061930000
0.842610000	0.053150000
0.875620000	0.044430000
0.908690000	0.035780000
0.933560000	0.029400000
0.958470000	0.023100000
0.983390000	0.016750000
1.000000000	0.012450000
</coords>	
