<reference>NuMad format, 73 pts.</reference>	
<coords>	
1.000000000	0.000000000
1.000000000	-0.004000000
0.987686150	-0.005200000
0.968787470	-0.006100000
0.951675360	-0.006700000
0.931175300	-0.007300000
0.907524560	-0.008332200
0.881009700	-0.010271630
0.851890260	-0.012163100
0.820513490	-0.017862960
0.787191530	-0.027003480
0.752252340	-0.038498620
0.716044920	-0.052191660
0.678906190	-0.067495190
0.641147520	-0.083647610
0.603088000	-0.099843540
0.565030900	-0.115374090
0.527248670	-0.129738930
0.489992360	-0.142567550
0.453492500	-0.153617850
0.417956070	-0.162636940
0.383560930	-0.169497200
0.350457320	-0.174339080
0.318774100	-0.177294040
0.288611290	-0.178519250
0.260041460	-0.178128930
0.233123440	-0.176295210
0.207883280	-0.173184950
0.184341250	-0.168985360
0.162499180	-0.163864900
0.142331760	-0.157929180
0.123806440	-0.151300270
0.091523400	-0.136443930
0.065187870	-0.119889630
0.044300350	-0.102197360
0.028220010	-0.084032490
0.016392190	-0.065500640
0.008219410	-0.047687130
0.003098790	-0.028951180
0.000599370	-0.010065820
0.000000000	0.000000000
0.000598780	0.008619700
0.003089980	0.028126950
0.006631280	0.044622950
0.013966200	0.063144690
0.021680710	0.077746210
0.035394840	0.097292720
0.048575810	0.111791190
0.070469200	0.130324280
0.090429020	0.143188600
0.113658760	0.154788810
0.140354650	0.164854630
0.170658190	0.172932770
0.204657630	0.178623110
0.242377800	0.181642300
0.283765800	0.181878350
0.328658460	0.179261240
0.376811230	0.173764190
0.427843230	0.165526390
0.481251550	0.154834000
0.536417630	0.142132360
0.592596730	0.127987550
0.648926780	0.112951580
0.704445390	0.097590820
0.758125460	0.082390190
0.808894550	0.067831790
0.855652760	0.054374840
0.897361210	0.042419070
0.933012840	0.032320520
0.961743130	0.024141040
0.976664220	0.019828320
0.988028440	0.016511030
1.000000000	0.012980000
</coords>	
