<reference>NuMad format, 73 pts.</reference>	
<coords>	
1.000000000	0.000000000
1.000000000	-0.003260000
0.987686150	-0.001461310
0.968787470	0.000912850
0.951675360	0.002708120
0.931175300	0.004403950
0.907524560	0.005477270
0.881009700	0.005465350
0.851890260	0.004094070
0.820513490	0.001179190
0.787191530	-0.003558420
0.752252340	-0.010454190
0.716044920	-0.019421360
0.678906190	-0.030126560
0.641147520	-0.042137910
0.603088000	-0.054770580
0.565030900	-0.067299600
0.527248670	-0.079056850
0.489992360	-0.089522020
0.453492500	-0.098297600
0.417956070	-0.105193480
0.383560930	-0.110233930
0.350457320	-0.113497740
0.318774100	-0.115133310
0.288611290	-0.115297210
0.260041460	-0.114148860
0.233123440	-0.111877760
0.207883280	-0.108630430
0.184341250	-0.104544540
0.162499180	-0.099769810
0.142331760	-0.094437770
0.123806440	-0.088705030
0.091523400	-0.076491150
0.065187870	-0.064024910
0.044300350	-0.051969610
0.028220010	-0.040725680
0.016392190	-0.030539740
0.008219410	-0.021306540
0.003098790	-0.013422120
0.000964480	-0.006057130
0.000000000	0.000000000
0.000963330	0.007462150
0.003089980	0.015951000
0.006631280	0.023429470
0.013966200	0.034184630
0.021680710	0.042896250
0.035394840	0.055109500
0.048575810	0.064653440
0.070469200	0.077594430
0.090429020	0.087221750
0.113658760	0.096490440
0.140354650	0.105107810
0.170658190	0.112692980
0.204657630	0.118866540
0.242377800	0.123238840
0.283765800	0.125465470
0.328658460	0.125238520
0.376811230	0.122488090
0.427843230	0.117353410
0.481251550	0.110062310
0.536417630	0.100926360
0.592596730	0.090372990
0.648926780	0.078834970
0.704445390	0.066900840
0.758125460	0.055122970
0.808894550	0.044009820
0.855652760	0.033936110
0.897361210	0.025137810
0.933012840	0.017785630
0.961743130	0.011968640
0.976664220	0.008954100
0.988028440	0.006661460
1.000000000	0.004250000
</coords>	
